EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,
Results from Irev,,,,,,,,,
Result by LGAs,,,,,,,,,
,LGA,APC,PDP,ADC,LP,ACCORD,SDP,Total No of Polling Unit per LGA,PU Results Uploaded/Entered
1,ADO EKITI ,0,0,0,0,0,0,344,0
2,EFON ,0,0,0,0,0,0,119,0
3,EKITI EAST,0,0,0,0,0,0,112,0
4,EKITI SOUTH WEST,0,0,0,0,0,0,188,0
5,EKITI WEST ,0,0,0,0,0,0,184,0
6,EMURE,0,0,0,0,0,0,94,0
7,GBOYIN ,0,0,0,0,0,0,115,0
8,IDO OSI ,0,0,0,0,0,0,144,0
9,IJERO EKITI,0,0,0,0,0,0,145,0
10,IKERE EKITI,0,0,0,0,0,0,125,0
11,IKOLE ,0,0,0,0,0,0,189,0
12,ILEJEMEJE,0,0,0,0,0,0,91,0
13,IREPODUN/IFELODUN,0,0,0,0,0,0,174,0
14,ISE/ORUN ,0,0,0,0,0,0,114,0
15,MOBA,0,0,0,0,0,0,116,0
16,OYE ,0,0,0,0,0,0,191,0
,TOTAL,0,0,0,0,0,0,2445,0
