EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,"IN FRONT OF UDE'S HOUSE / OGBON IGBARA , IDOFIN ST.",001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,"A. U. D. PRY. SCH. / IRO ST. , ODE ONA",002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,A. U. D. PRY. SCH. / ODO IMOBUN,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,"IN FRONT OF ADELUYI'S HOUSE / ARAROMI , ADELUYI'S , THADEUS COMPOUND",004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,IN FRONT OF FATHER BLESSING 'S HOUSE / AGRIC. ELEJOKA'S COMP.,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,ORI EKITI MARKET / ASA EJEMUA COMP.,006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,"ST. PATRICK PRY. SCH. MATTHEW ST. / ILARO, MATHEW",007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,IN FRONT OF ODOFIN'S HOUSE / ODOFIN COMP.,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,IN FRONT OF EGBEDI'S HOUSE / EGBEDI'S COMP.,009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,IN FRONT OF FAEJI'S HOUSE / FAEJI'S COMP.,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,IN FRONT OF PA JEGEDE'S HOUSE / CHIEF EMILA'S COMP.,011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,"OPEN SPACE BESIDE MR BELLO HOUSE,TRANSFORMER AGRIC ROAD",012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,"OPEN SPACE AT APOTI OJO AREA ,POLY BUS- STOP MATHEW",013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,OPEN SPACE AT FABUNMI AREA/ILARO STREET OJIDO,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,OPEN SPACE AT OJO MICHEAL AREA,015,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'B' INISA,02,"IN FRONT OF OISA FAMILY'S HOUSE / OISA , OKE INISA COMP.",001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'B' INISA,02,IN FRONT OF CHIEF ELEMO'S COMP. / ODO INISA/EMINIO COMP.,002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'B' INISA,02,"IN FRONT OF EJEMU'S COMP. / EJEMU, ARALOPON COMP.",003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'B' INISA,02,"AT ODO ADO MARKET AREA / ODO ADO MARKET , IYERE",004,,,,,,,,,,,,,,,
