EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,APC ,PDP ,ADC ,LP ,ACCORD,SDP,Total PU,PU Entered
Result by Ward,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD NAME,WARD CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
ADO EKITI,ADO 'A' IDOFIN,01,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'B' INISA,02,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'C' IDOLOFIN,03,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'I' DALLIMORE,09,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'J' OKESA,10,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'K' IRONA,11,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'L' IGBEHIN,12,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'M' IGBEHIN,13,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON I,01,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON II,02,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON III,03,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON IV,04,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON V,05,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON VI,06,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON VII,07,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON VIII,08,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON IX,09,0,0,0,0,0,0,,,,,,,,,
EFON ,EFON X,10,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,OMUO OKE I,01,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,OMUO OKE II,02,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,ARAROMI OMUO,03,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,KOTA I,04,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,KOTA II,05,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,OBADORE I,06,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,OBADORE II,07,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,OBADORE III,08,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,OBADORE IV,09,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,ILASA I,10,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,ILASA II,11,0,0,0,0,0,0,,,,,,,,,
EKITI EAST,ISINBODE,12,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ARAMOKO I,01,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ARAMOKO II,02,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ARAMOKO III,03,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ERUIYAN I,04,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,ERIJIYAN II,05,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,IKOGOSI,06,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,IPOLE ILORO,07,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,OKEMESI I,08,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,OKEMESI II,09,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,OKEMESI III,10,0,0,0,0,0,0,,,,,,,,,
EKITI WEST,IDO AJINARE,11,0,0,0,0,0,0,,,,,,,,,
